title,genre,rating
Tower of God Season 2,"['Anime', 'Hành động', 'Bí ẩn', 'Giả tưởng', 'Drama', 'Phiêu lưu']","['8.5', '150']"
Fairy Tail: 100 Years Quest,"['Anime', 'Hành động', 'Giả tưởng', 'Phiêu lưu']","['9.2', '226']"
Makeine: Too Many Losing Heroines!,"['Anime', 'Tình cảm', 'Học đường', 'Đời thường']","['8.7', '110']"
The Elusive Samurai,"['Anime', 'Hành động', 'Lịch sử', 'Drama', 'Phiêu lưu', 'Samurai']","['8.0', '74']"
Madougushi Dahliya wa Utsumukanai,"['Anime', 'Giả tưởng', 'Đời thường', 'Dị giới']","['7.2', '33']"
Plus-Sized Elf,"['Anime', 'Tình cảm', 'Harem', 'Siêu nhiên']","['4.0', '57']"
VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,"['Anime', 'Hài hước', 'Tình cảm', 'Giả tưởng', 'Đời thường']","['6.7', '49']"
Atri: My Dear Moments,"['Anime', 'Tình cảm', 'Drama']","['7.5', '41']"
Strike the Blood V,"['Anime', 'Hành động', 'Hài hước', 'Tình cảm', 'Harem', 'Học đường', 'Siêu nhiên', 'Ma cà rồng']","['8.4', '127']"
Sengoku Youko,"['Anime', 'Hành động', 'Giả tưởng', 'Shounen', 'Drama', 'Siêu nhiên', 'Phiêu lưu']","['7.2', '83']"
Wistoria: Wand and Sword,"['Anime', 'Hành động', 'Học đường', 'Siêu nhiên', 'Phiêu lưu']","['8.5', '249']"
One Piece,"['Anime', 'Hành động', 'Hài hước', 'Phiêu lưu', 'Shounen', 'Drama']","['9.0', '16361']"
Senpai wa Otokonoko,"['Anime', 'Tình cảm', 'Học đường']","['5.8', '24']"
Koi wa Futago de Warikirenai,"['Anime', 'Hài hước', 'Tình cảm']","['6.4', '40']"
Synonyms: Why Nobody Remembers My World?,"['Anime', 'Hành động', 'Siêu nhiên', 'Phiêu lưu']","['7.6', '85']"
Tensui no Sakuna-hime,"['Anime', 'Hành động', 'Siêu nhiên']","['5.1', '26']"
